Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA
03.12.2006;Aachen;Ein Frankfurt;2;3;A;23;325;30;23;30;30;23;325;30;22;31;30;225;32;275;225;325;285;225;30;287;24;325;262;22;31;29
03.12.2006;Nurnberg;Schalke 04;0;0;D;287;32;24;31;30;225;31;32;225;30;31;22;28;32;22;27;32;24;30;30;22;288;325;225;28;31;225
08.12.2006;Leverkusen;Hertha;2;1;H;21;325;34;22;32;30;21;32;34;22;31;30;21;32;30;225;325;285;215;30;31;20;325;34;21;30;32
09.12.2006;Bayern Munich;Cottbus;2;1;H;116;60;190;12;62;95;118;625;130;12;52;110;12;50;110;122;55;100;12;50;110;114;60;170;118;55;110
09.12.2006;Ein Frankfurt;Werder Bremen;2;6;A;45;33;18;43;32;18;44;33;183;38;32;185;375;325;18;42;34;175;40;30;183;40;34;18;40;32;175
09.12.2006;Hamburg;Nurnberg;0;0;D;225;33;30;21;31;335;215;325;325;21;31;32;21;32;30;22;32;30;22;30;30;225;288;325;22;30;30
09.12.2006;Hannover;Bielefeld;1;1;D;20;33;36;21;30;345;21;32;34;20;32;33;20;32;32;22;32;30;205;30;33;21;30;34;20;30;34
09.12.2006;M'gladbach;Mainz;1;1;D;18;33;45;185;33;39;183;33;44;185;32;38;173;34;40;175;34;42;172;32;433;17;32;50;175;32;435
09.12.2006;Stuttgart;Bochum;1;0;H;144;40;75;14;42;675;145;40;70;15;38;55;144;36;65;145;40;625;144;36;65;157;35;55;145;36;65
10.12.2006;Schalke 04;Dortmund;3;1;H;183;33;433;175;325;455;185;325;44;18;32;40;173;32;433;175;34;42;18;30;42;173;333;45;18;32;40
10.12.2006;Wolfsburg;Aachen;1;2;A;183;33;433;185;32;405;185;325;44;185;32;38;18;32;40;185;325;40;183;30;40;167;333;50;18;325;375
15.12.2006;Bochum;M'gladbach;2;0;H;22;32;325;22;32;30;21;32;34;21;31;32;21;32;30;22;32;30;215;30;31;22;30;32;21;31;31
16.12.2006;Aachen;Hamburg;3;3;D;25;325;27;255;315;255;26;32;26;23;31;28;237;32;26;255;315;255;25;29;262;275;32;238;26;31;24
16.12.2006;Bielefeld;Schalke 04;0;1;A;34;325;21;325;32;21;35;32;205;30;31;22;30;32;21;29;33;22;32;30;21;30;325;22;34;31;20
16.12.2006;Cottbus;Stuttgart;0;0;D;34;325;21;375;325;19;375;325;20;33;32;20;32;32;20;31;33;21;36;30;195;36;34;191;32;32;20
16.12.2006;Hertha;Ein Frankfurt;1;0;H;161;36;55;17;34;46;17;34;50;17;34;43;161;325;50;165;34;50;161;33;50;162;34;55;165;325;45
16.12.2006;Mainz;Bayern Munich;0;4;A;65;42;144;625;365;15;60;375;155;48;36;16;55;35;153;60;375;15;55;33;157;60;34;157;55;36;15
16.12.2006;Nurnberg;Hannover;3;1;H;20;33;36;195;31;38;20;325;375;21;31;32;20;32;32;21;32;32;205;287;35;20;30;375;20;30;35
17.12.2006;Dortmund;Leverkusen;1;2;A;23;325;30;22;31;31;225;32;31;22;31;30;21;32;30;22;325;295;22;30;30;225;32;29;22;30;30
17.12.2006;Werder Bremen;Wolfsburg;2;1;H;13;50;90;135;445;75;135;45;80;135;42;75;13;433;80;135;42;80;13;42;85;14;38;80;128;435;90
26.01.2007;Dortmund;Bayern Munich;3;2;H;375;32;20;355;325;195;36;325;20;32;31;21;32;32;20;34;33;20;33;31;20;375;325;191;35;32;19
27.01.2007;Bielefeld;Hamburg;1;1;D;25;32;275;25;31;265;25;32;275;255;31;255;225;32;275;24;325;265;23;30;28;225;325;288;24;31;26
27.01.2007;Bochum;Mainz;0;1;A;195;33;38;185;325;395;195;33;375;19;32;36;18;33;375;19;33;365;183;32;375;191;325;375;185;32;375
27.01.2007;Cottbus;M'gladbach;3;1;H;24;32;287;23;32;285;24;30;30;22;31;30;22;325;275;23;325;28;225;31;28;225;31;30;235;31;265
27.01.2007;Ein Frankfurt;Schalke 04;1;3;A;33;325;215;33;315;21;33;32;215;30;31;22;32;32;20;31;33;21;32;31;205;34;325;20;31;31;21
27.01.2007;Hertha;Wolfsburg;2;1;H;172;36;45;165;345;49;17;34;50;17;34;43;161;35;45;16;36;50;161;33;50;173;31;50;16;325;50
27.01.2007;Nurnberg;Stuttgart;4;1;H;25;31;28;265;29;265;25;31;28;255;31;255;25;32;25;26;325;245;25;29;262;25;30;275;235;32;26
28.01.2007;Aachen;Leverkusen;2;3;A;30;32;23;295;325;22;30;325;23;28;31;23;28;32;22;28;33;225;275;31;23;30;32;22;28;31;225
28.01.2007;Werder Bremen;Hannover;3;0;H;13;475;100;135;43;80;135;45;85;135;42;75;128;45;80;13;45;90;13;42;85;133;425;85;13;435;80
30.01.2007;Bayern Munich;Bochum;0;0;D;122;55;130;12;60;100;122;55;120;122;50;100;122;50;100;12;55;120;122;50;95;12;50;150;12;55;100
30.01.2007;M'gladbach;Nurnberg;0;0;D;24;32;287;25;30;27;24;32;28;24;31;27;24;325;25;24;325;265;237;31;262;25;288;288;225;31;28
